,Fco,Fsi,Hfo,Hli,Hma,Hpa,Pal,Ssc,Sba,Sfo,Sgu,Sco,Spa,Sla,Sve,Svi
Fco,1.0,0.85,0.5,0.5384615384615384,0.56,0.56,0.6086956521739131,0.5416666666666667,0.5454545454545454,0.5833333333333333,0.6086956521739131,0.5217391304347826,0.5454545454545454,0.5217391304347826,0.6363636363636364,0.625
Fsi,0.85,1.0,0.4814814814814815,0.5185185185185186,0.5384615384615384,0.5384615384615384,0.5833333333333333,0.5833333333333333,0.6666666666666667,0.625,0.6521739130434783,0.6363636363636364,0.5217391304347826,0.5652173913043479,0.7619047619047619,0.6666666666666667
Hfo,0.5,0.4814814814814815,1.0,0.8695652173913043,0.8260869565217391,0.8260869565217391,0.6666666666666667,0.8181818181818181,0.6086956521739131,0.64,0.6,0.5833333333333333,0.6086956521739131,0.6521739130434783,0.56,0.6153846153846154
Hli,0.5384615384615384,0.5185185185185186,0.8695652173913043,1.0,0.8695652173913043,0.8695652173913043,0.7083333333333333,0.782608695652174,0.5833333333333333,0.6153846153846154,0.64,0.56,0.5833333333333333,0.625,0.6,0.6538461538461539
Hma,0.56,0.5384615384615384,0.8260869565217391,0.8695652173913043,1.0,1.0,0.6666666666666667,0.8181818181818181,0.6086956521739131,0.7083333333333333,0.6,0.6521739130434783,0.6086956521739131,0.6521739130434783,0.625,0.6799999999999999
Hpa,0.56,0.5384615384615384,0.8260869565217391,0.8695652173913043,1.0,1.0,0.6666666666666667,0.8181818181818181,0.6086956521739131,0.7083333333333333,0.6,0.6521739130434783,0.6086956521739131,0.6521739130434783,0.625,0.6799999999999999
Pal,0.6086956521739131,0.5833333333333333,0.6666666666666667,0.7083333333333333,0.6666666666666667,0.6666666666666667,1.0,0.6521739130434783,0.5909090909090908,0.625,0.6521739130434783,0.5652173913043479,0.5909090909090908,0.7142857142857143,0.6086956521739131,0.6666666666666667
Ssc,0.5416666666666667,0.5833333333333333,0.8181818181818181,0.782608695652174,0.8181818181818181,0.8181818181818181,0.6521739130434783,1.0,0.75,0.7727272727272727,0.7272727272727273,0.7142857142857143,0.75,0.8,0.6818181818181819,0.7391304347826086
Sba,0.5454545454545454,0.6666666666666667,0.6086956521739131,0.5833333333333333,0.6086956521739131,0.6086956521739131,0.5909090909090908,0.75,1.0,0.7142857142857143,0.8421052631578947,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.6818181818181819
Sfo,0.5833333333333333,0.625,0.64,0.6153846153846154,0.7083333333333333,0.7083333333333333,0.625,0.7727272727272727,0.7142857142857143,1.0,0.7727272727272727,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.7272727272727273,0.9523809523809523
Sgu,0.6086956521739131,0.6521739130434783,0.6,0.64,0.6,0.6,0.6521739130434783,0.7272727272727273,0.8421052631578947,0.7727272727272727,1.0,0.7142857142857143,0.75,0.8,0.85,0.8181818181818181
Sco,0.5217391304347826,0.6363636363636364,0.5833333333333333,0.56,0.6521739130434783,0.6521739130434783,0.5652173913043479,0.7142857142857143,0.8333333333333334,0.7619047619047619,0.7142857142857143,1.0,0.8333333333333334,0.7894736842105263,0.8421052631578947,0.7272727272727273
Spa,0.5454545454545454,0.5217391304347826,0.6086956521739131,0.5833333333333333,0.6086956521739131,0.6086956521739131,0.5909090909090908,0.75,0.7777777777777778,0.7142857142857143,0.75,0.8333333333333334,1.0,0.8333333333333334,0.7,0.6818181818181819
Sla,0.5217391304347826,0.5652173913043479,0.6521739130434783,0.625,0.6521739130434783,0.6521739130434783,0.7142857142857143,0.8,0.8333333333333334,0.7619047619047619,0.8,0.7894736842105263,0.8333333333333334,1.0,0.75,0.7272727272727273
Sve,0.6363636363636364,0.7619047619047619,0.56,0.6,0.625,0.625,0.6086956521739131,0.6818181818181819,0.8888888888888888,0.7272727272727273,0.85,0.8421052631578947,0.7,0.75,1.0,0.7727272727272727
Svi,0.625,0.6666666666666667,0.6153846153846154,0.6538461538461539,0.6799999999999999,0.6799999999999999,0.6666666666666667,0.7391304347826086,0.6818181818181819,0.9523809523809523,0.8181818181818181,0.7272727272727273,0.6818181818181819,0.7272727272727273,0.7727272727272727,1.0
