,Fco,Fsi,Hfo,Hli,Hma,Hpa,Pal,Ssc,Sba,Sfo,Sgu,Sco,Spa,Sla,Sve,Svi
Fco,1.0,0.9032258064516129,0.5806451612903225,0.6129032258064516,0.6451612903225806,0.6451612903225806,0.7096774193548387,0.6451612903225806,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.6451612903225806,0.6774193548387097,0.6451612903225806,0.7419354838709677,0.7096774193548387
Fsi,0.9032258064516129,1.0,0.5483870967741935,0.5806451612903225,0.6129032258064516,0.6129032258064516,0.6774193548387097,0.6774193548387097,0.7741935483870968,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.6451612903225806,0.6774193548387097,0.8387096774193549,0.7419354838709677
Hfo,0.5806451612903225,0.5483870967741935,1.0,0.9032258064516129,0.8709677419354839,0.8709677419354839,0.7419354838709677,0.8709677419354839,0.7096774193548387,0.7096774193548387,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.7419354838709677,0.6451612903225806,0.6774193548387097
Hli,0.6129032258064516,0.5806451612903225,0.9032258064516129,1.0,0.9032258064516129,0.9032258064516129,0.7741935483870968,0.8387096774193549,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.6451612903225806,0.6774193548387097,0.7096774193548387,0.6774193548387097,0.7096774193548387
Hma,0.6451612903225806,0.6129032258064516,0.8709677419354839,0.9032258064516129,1.0,1.0,0.7419354838709677,0.8709677419354839,0.7096774193548387,0.7741935483870968,0.6774193548387097,0.7419354838709677,0.7096774193548387,0.7419354838709677,0.7096774193548387,0.7419354838709677
Hpa,0.6451612903225806,0.6129032258064516,0.8709677419354839,0.9032258064516129,1.0,1.0,0.7419354838709677,0.8709677419354839,0.7096774193548387,0.7741935483870968,0.6774193548387097,0.7419354838709677,0.7096774193548387,0.7419354838709677,0.7096774193548387,0.7419354838709677
Pal,0.7096774193548387,0.6774193548387097,0.7419354838709677,0.7741935483870968,0.7419354838709677,0.7419354838709677,1.0,0.7419354838709677,0.7096774193548387,0.7096774193548387,0.7419354838709677,0.6774193548387097,0.7096774193548387,0.8064516129032258,0.7096774193548387,0.7419354838709677
Ssc,0.6451612903225806,0.6774193548387097,0.8709677419354839,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.7419354838709677,1.0,0.8387096774193549,0.8387096774193549,0.8064516129032258,0.8064516129032258,0.8387096774193549,0.8709677419354839,0.7741935483870968,0.8064516129032258
Sba,0.6774193548387097,0.7741935483870968,0.7096774193548387,0.6774193548387097,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.8387096774193549,1.0,0.8064516129032258,0.9032258064516129,0.9032258064516129,0.8709677419354839,0.9032258064516129,0.935483870967742,0.7741935483870968
Sfo,0.6774193548387097,0.7096774193548387,0.7096774193548387,0.6774193548387097,0.7741935483870968,0.7741935483870968,0.7096774193548387,0.8387096774193549,0.8064516129032258,1.0,0.8387096774193549,0.8387096774193549,0.8064516129032258,0.8387096774193549,0.8064516129032258,0.967741935483871
Sgu,0.7096774193548387,0.7419354838709677,0.6774193548387097,0.7096774193548387,0.6774193548387097,0.6774193548387097,0.7419354838709677,0.8064516129032258,0.9032258064516129,0.8387096774193549,1.0,0.8064516129032258,0.8387096774193549,0.8709677419354839,0.9032258064516129,0.8709677419354839
Sco,0.6451612903225806,0.7419354838709677,0.6774193548387097,0.6451612903225806,0.7419354838709677,0.7419354838709677,0.6774193548387097,0.8064516129032258,0.9032258064516129,0.8387096774193549,0.8064516129032258,1.0,0.9032258064516129,0.8709677419354839,0.9032258064516129,0.8064516129032258
Spa,0.6774193548387097,0.6451612903225806,0.7096774193548387,0.6774193548387097,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.8387096774193549,0.8709677419354839,0.8064516129032258,0.8387096774193549,0.9032258064516129,1.0,0.9032258064516129,0.8064516129032258,0.7741935483870968
Sla,0.6451612903225806,0.6774193548387097,0.7419354838709677,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.8064516129032258,0.8709677419354839,0.9032258064516129,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9032258064516129,1.0,0.8387096774193549,0.8064516129032258
Sve,0.7419354838709677,0.8387096774193549,0.6451612903225806,0.6774193548387097,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7741935483870968,0.935483870967742,0.8064516129032258,0.9032258064516129,0.9032258064516129,0.8064516129032258,0.8387096774193549,1.0,0.8387096774193549
Svi,0.7096774193548387,0.7419354838709677,0.6774193548387097,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.8064516129032258,0.7741935483870968,0.967741935483871,0.8709677419354839,0.8064516129032258,0.7741935483870968,0.8064516129032258,0.8387096774193549,1.0
