Component,Eigenvalue,Eigenvalue (%),Cumulative (%)
1,1.2033083034301622,32.5953,32.5953
2,0.7445242017074097,20.1677,52.763
3,0.4099069951651605,11.1036,63.8665
4,0.3729021903137589,10.1012,73.9677
5,0.26027206446255974,7.0503,81.018
6,0.21517744138387726,5.8287,86.8467
7,0.15528178362739672,4.2063,91.053
8,0.12171845692180452,3.2971,94.3501
9,0.08291462332592543,2.246,96.5961
10,0.049807112627139764,1.3492,97.9453
11,0.03706673571146616,1.0041,98.9493
12,0.029115069312904272,0.7887,99.738
13,0.007726086998173106,0.2093,99.9473
14,0.0019456016789289906,0.0527,100.0
15,2.3525933242090906e-32,0.0,100.0
16,2.887176447048176e-33,0.0,100.0
