Component,Eigenvalue,Eigenvalue (%),Cumulative (%)
1,2.190852390655525,34.2121,34.2121
2,0.9140873204603882,14.2743,48.4863
3,0.586704029554053,9.1619,57.6482
4,0.5437465991035538,8.4911,66.1393
5,0.4227789874348629,6.6021,72.7413
6,0.29676781232440363,4.6343,77.3756
7,0.2751304863376215,4.2964,81.672
8,0.21903887931768162,3.4205,85.0925
9,0.16566078384146576,2.5869,87.6795
10,0.13978609153580787,2.1829,89.8623
11,0.11032186850733865,1.7228,91.5851
12,0.1040954273804113,1.6255,93.2106
13,0.08900974409269113,1.39,94.6006
14,0.0762418161359588,1.1906,95.7912
15,0.05341923345054648,0.8342,96.6254
16,0.04442075074708406,0.6937,97.3191
17,0.04219730727973864,0.6589,97.978
18,0.03337192861871575,0.5211,98.4991
19,0.02798913659833369,0.4371,98.9362
20,0.020004717541375328,0.3124,99.2486
21,0.014523335967848749,0.2268,99.4754
22,0.013859893462520229,0.2164,99.6918
23,0.009110309925549879,0.1423,99.8341
24,0.005115605506194056,0.0799,99.914
25,0.002947858871347915,0.046,99.96
26,0.0012737066912366505,0.0199,99.9799
27,0.001100110224587314,0.0172,99.9971
28,0.00018718394118042995,0.0029,100.0
29,2.7201936547796936e-31,0.0,100.0
30,9.249027352937777e-33,0.0,100.0
31,9.249027352937777e-33,0.0,100.0
