,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
Ch1,0.1091753657906074,0.07167148429781879,-0.06420634299661267,-0.35450570793160824,-0.09017105944398837,-0.005471524345013937,0.08310324256024328,-0.09638187106460509,-0.14776467603772095,0.1444523406763222,-0.1359953476314356,-0.14340269368793998,0.15055626888406884,-0.10312638969946283,-0.12284627428051573,-0.0036134555857166486,0.1338109463421775,0.20095609382267623,0.01222276549181586,0.148618716729268,0.0601836434285643,-0.16726345693890668,0.48705022508705764,0.2436762728852353,-0.3570809656347592,0.07036538618645038,-0.30040158921785715,0.13994739847594861,-0.21821789023599203,0.0,-0.0
Ch2,0.06597253223356037,-0.07058812473110485,-0.05672630160607685,-0.010730251699043292,-0.06905218323590583,-0.012780969296994873,0.04666308394879635,-0.0026144553675397537,0.2136991502838918,0.11411064287293678,0.38444030508518506,0.2723838815314291,0.37892286154892585,-0.2658287506815696,-0.16943329966540335,0.0438189525500093,-0.27288318501402836,-0.1971966965287527,0.37145254263762134,0.3165817650531216,0.04444162590392413,-0.1745725696383459,0.0724996027795593,-0.02720572686683362,0.23407250084461143,-0.015355683118497603,-0.09811951367276468,0.0034737648647099675,4.718447854656915e-16,-1.6840644212848495e-16,-1.9290719512900612e-16
Ch3,-0.03527337428826038,-0.32024352283325935,-0.05137550666991275,-0.17813495433390755,0.24889171127800294,-0.14319547814341999,-0.2524678314045072,-0.1172940853341665,-0.15668824292316044,-0.15371796267960036,0.4007026050103699,-0.03897974771046557,-0.38555334691651516,0.07108150898019894,0.0058908263361485075,0.06760061133977534,0.16267688038778338,-0.26664738549296996,0.17884958570503554,-0.034822612046478935,0.35290352131887404,0.07755698479853564,0.13988156763310908,0.2255469115258057,-0.0016865289488604378,-0.022866683153581046,-0.026293407191470608,0.018215598918286915,1.3964523981613297e-16,2.945483163498204e-17,1.174147118950859e-16
Ch4,-0.23823169203328376,0.18510522041069663,0.1853381246121879,-0.04178655992755134,0.23445591756213596,0.08646895424850898,0.11062201995705909,0.11861150400629131,0.01214027814802389,-0.039217987553528844,0.0593029923972455,-0.2599165267431273,0.025328809021919023,-0.005208651948189688,-0.0459895633515279,-0.08798463435568825,0.07439666410676525,-0.19477186607155203,-0.30005932963904514,0.3272990671885096,0.09651170371948543,-0.3603963058214259,0.12260125419095866,0.0784418389807146,0.19879301962879145,0.20159896456807017,0.42873604515900715,0.1893628344609723,-1.5092094240998222e-16,-1.0777407323529008e-16,-1.2161364815358088e-16
Ch5,0.2513586353506987,-0.06842493417295306,0.2230371942874583,-0.14753412149228934,0.006726446940432701,-0.14379716265739653,0.07169849619195245,0.26084342007658934,-0.02831510275425647,0.023462232697900993,-0.00403448768224296,0.023225796629665917,-0.11822184584033485,0.21015232752987154,-0.2579537589186137,0.08292539664670445,0.10180854774252138,0.1107555784856197,-0.08441774325626018,0.5942690254975345,-0.09453851891382428,0.29343623244145733,-0.32357142982925896,0.17370601315649034,0.018407907214990887,-0.013527697758747797,-0.10013243479756315,-0.09939946499035558,-3.2959746043559335e-16,2.8183074361935315e-16,2.0388043975616232e-16
Ch6,0.05628788450744204,0.3775567445291494,-0.003488313870552844,0.1278174857644339,-0.27332548026781467,-0.02115652227710464,0.0834377672440138,0.10324032057479356,0.03501295790437481,-0.021607131522071835,-0.06567895990133082,0.16296290223430868,0.023369967205944715,0.041676045530465285,0.25800326590871003,0.36077772347370274,0.1487026274316077,-0.03955161913272409,0.15271901336868554,0.01710748588576547,0.47280113699371396,-0.050073583824198103,-0.08872540841648942,0.25464655048052665,-0.0707175814299535,0.02594523967931549,0.20962902577690223,-0.2651228694735739,-0.2182178902359928,7.77862786656851e-16,1.7806352447415216e-16
Ch7,-0.23840243008283377,-0.1594428796819438,-0.3184439575001373,0.08974294411088554,0.22277613036108387,-0.08175925859727623,0.025594634225079554,-0.11975732524581853,-0.01243591397212384,-0.09947484114334615,0.02886112718358161,0.08382520036243982,0.1974755222681048,0.1949764774383162,-0.20094860766658035,-0.13626332375640904,0.2409383299527591,0.253055108476458,0.28141811323043314,0.0904741455633319,-0.20312269549569928,-0.09438589049815402,-0.08872554411827133,0.0070615059637710205,-0.22066015854771082,0.10107473098369814,0.35613604190646225,-0.2866754381680292,-0.21821789023599356,9.438236603854218e-16,5.2276732722536705e-18
Ch8,0.02527671138876242,-0.29848235302150505,-0.09979166748565196,-0.13305436806499277,0.4041380826049149,0.22666444073034941,0.08785534853438967,0.22293087031914954,-0.022474466746736012,0.6055339512077993,-0.17689868375797685,0.08776741941053476,0.066259905890135,0.07689550918487091,0.2202276991529196,0.008369886898818464,-0.07013207083794062,0.11402996490935212,-0.027246765326365635,-0.013893593037757335,0.30020122152238216,0.0011726605621257226,-0.014456866748729973,-0.07910567685589716,0.07184881616634753,-0.09843208335635022,0.048529688352914185,-0.11308511094555156,5.421010862427522e-17,1.3428780202674068e-16,5.808234253024114e-17
Ch9,0.020746072744911803,0.03856935519630825,0.0723042181190845,-0.17692973989911115,0.08626888709537006,-0.17295446733822384,0.16807614460898987,-0.4170625658467201,0.34129372908521866,-0.06456207398272673,0.23789929360412526,-0.12189238127861393,0.092047930173484,-0.09835527284519141,0.4679181350192578,-0.24453178376617918,0.10492542156169055,0.33070624728416165,-0.14393392376438496,0.10124853388652862,0.1039432550463383,0.08081267744130081,-0.15200657030662384,0.04611017512266437,0.12954683291935087,0.00986275299893549,-0.10924616023124961,-0.10141378840504543,4.354155924701786e-16,6.008905690827011e-18,8.021835572744261e-17
Ch10,-0.14259003474975673,-0.16300256933560353,-0.16197084617699756,-0.33477856300621933,0.05046355408021142,-0.1649820025107201,-0.3172479970778788,0.14960057919878114,0.2347378767544555,-0.27151863942761506,-0.10210294638833073,0.006299855111148009,0.4233567714383741,0.13175727791958955,0.0012122412279624386,0.391118654054554,-0.10885954983653813,0.00882157583456088,-0.30128645348537786,-0.12350276814494503,0.055356427969809045,-0.06592064005746354,-0.16296967099122084,0.06272618312737883,-0.02163003973012215,-0.0012863818451924998,-0.050430902306787546,0.11945113128511058,-1.3530843112619095e-16,-3.2598311194390506e-17,1.8708649244276761e-16
