,Aau,Bas,Bpi,Dbu,Dwa,Fco,Fsi,Gul,His,Hel,Hhi,Hvi,Hfo,Hli,Hma,Hpa,Kho,Mco,Pph,Pac,Pla,Pse,Pal,Ssc,Sba,Sfo,Sgu,Sco,Spa,Sla,Sve,Svi,Tca,Win
Aau,1.0,0.8064516129032258,0.8064516129032258,0.8709677419354839,0.8387096774193549,0.5483870967741935,0.5806451612903225,0.7419354838709677,0.5806451612903225,0.5806451612903225,0.6451612903225806,0.6129032258064516,0.5161290322580645,0.4838709677419355,0.4516129032258065,0.4516129032258065,0.6774193548387097,0.5806451612903225,0.6129032258064516,0.8709677419354839,0.7096774193548387,0.7741935483870968,0.5161290322580645,0.5161290322580645,0.4838709677419355,0.5483870967741935,0.5161290322580645,0.5161290322580645,0.4838709677419355,0.5161290322580645,0.5483870967741935,0.6129032258064516,0.7096774193548387,0.6129032258064516
Bas,0.8064516129032258,1.0,0.935483870967742,0.7419354838709677,0.7096774193548387,0.4838709677419355,0.5161290322580645,0.6774193548387097,0.5161290322580645,0.4516129032258065,0.5161290322580645,0.4838709677419355,0.3870967741935484,0.3548387096774194,0.32258064516129037,0.32258064516129037,0.5483870967741935,0.6451612903225806,0.6129032258064516,0.6774193548387097,0.5161290322580645,0.5806451612903225,0.32258064516129037,0.3870967741935484,0.4193548387096774,0.4193548387096774,0.3870967741935484,0.5161290322580645,0.4838709677419355,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903225,0.7419354838709677
Bpi,0.8064516129032258,0.935483870967742,1.0,0.8064516129032258,0.7741935483870968,0.4838709677419355,0.5161290322580645,0.7419354838709677,0.5161290322580645,0.5161290322580645,0.5806451612903225,0.5483870967741935,0.3870967741935484,0.3548387096774194,0.32258064516129037,0.32258064516129037,0.5483870967741935,0.7096774193548387,0.6774193548387097,0.6774193548387097,0.5161290322580645,0.5806451612903225,0.32258064516129037,0.3870967741935484,0.4193548387096774,0.4193548387096774,0.3870967741935484,0.4516129032258065,0.4193548387096774,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903225,0.7419354838709677
Dbu,0.8709677419354839,0.7419354838709677,0.8064516129032258,1.0,0.967741935483871,0.4193548387096774,0.5161290322580645,0.7419354838709677,0.6451612903225806,0.6451612903225806,0.7096774193548387,0.6774193548387097,0.4516129032258065,0.4193548387096774,0.3870967741935484,0.3870967741935484,0.6129032258064516,0.5806451612903225,0.6774193548387097,0.7419354838709677,0.6451612903225806,0.6451612903225806,0.4516129032258065,0.4516129032258065,0.4193548387096774,0.4193548387096774,0.3870967741935484,0.4516129032258065,0.3548387096774194,0.4516129032258065,0.4838709677419355,0.5483870967741935,0.5806451612903225,0.6129032258064516
Dwa,0.8387096774193549,0.7096774193548387,0.7741935483870968,0.967741935483871,1.0,0.3870967741935484,0.4838709677419355,0.7741935483870968,0.6774193548387097,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.4838709677419355,0.4516129032258065,0.4193548387096774,0.4193548387096774,0.6451612903225806,0.6129032258064516,0.7096774193548387,0.7096774193548387,0.6774193548387097,0.6774193548387097,0.4193548387096774,0.4838709677419355,0.4516129032258065,0.4516129032258065,0.4193548387096774,0.4838709677419355,0.3870967741935484,0.4838709677419355,0.5161290322580645,0.5161290322580645,0.6129032258064516,0.6451612903225806
Fco,0.5483870967741935,0.4838709677419355,0.4838709677419355,0.4193548387096774,0.3870967741935484,1.0,0.9032258064516129,0.4193548387096774,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3548387096774194,0.5806451612903225,0.6129032258064516,0.6451612903225806,0.6451612903225806,0.5483870967741935,0.3870967741935484,0.3548387096774194,0.5483870967741935,0.3870967741935484,0.3870967741935484,0.7096774193548387,0.6451612903225806,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.6451612903225806,0.6774193548387097,0.6451612903225806,0.7419354838709677,0.8064516129032258,0.5161290322580645,0.3548387096774194
Fsi,0.5806451612903225,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.4838709677419355,0.9032258064516129,1.0,0.4516129032258065,0.4193548387096774,0.4193548387096774,0.4838709677419355,0.4516129032258065,0.5483870967741935,0.5806451612903225,0.6129032258064516,0.6129032258064516,0.5806451612903225,0.4193548387096774,0.4516129032258065,0.5806451612903225,0.4193548387096774,0.4193548387096774,0.6774193548387097,0.6774193548387097,0.7741935483870968,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.6451612903225806,0.6774193548387097,0.8387096774193549,0.9032258064516129,0.4838709677419355,0.3870967741935484
Gul,0.7419354838709677,0.6774193548387097,0.7419354838709677,0.7419354838709677,0.7741935483870968,0.4193548387096774,0.4516129032258065,1.0,0.7096774193548387,0.7741935483870968,0.7741935483870968,0.8064516129032258,0.4516129032258065,0.4838709677419355,0.3870967741935484,0.3870967741935484,0.5483870967741935,0.7741935483870968,0.8064516129032258,0.6129032258064516,0.7741935483870968,0.7741935483870968,0.3870967741935484,0.4516129032258065,0.4838709677419355,0.4193548387096774,0.4516129032258065,0.4516129032258065,0.4838709677419355,0.4516129032258065,0.4838709677419355,0.4193548387096774,0.7741935483870968,0.8064516129032258
His,0.5806451612903225,0.5161290322580645,0.5161290322580645,0.6451612903225806,0.6774193548387097,0.3870967741935484,0.4193548387096774,0.7096774193548387,1.0,0.935483870967742,0.8709677419354839,0.9032258064516129,0.4838709677419355,0.5161290322580645,0.4838709677419355,0.4838709677419355,0.6451612903225806,0.6129032258064516,0.6451612903225806,0.5161290322580645,0.6129032258064516,0.6129032258064516,0.3548387096774194,0.4193548387096774,0.3870967741935484,0.3870967741935484,0.3548387096774194,0.4838709677419355,0.3870967741935484,0.3548387096774194,0.4516129032258065,0.3870967741935484,0.4838709677419355,0.7096774193548387
Hel,0.5806451612903225,0.4516129032258065,0.5161290322580645,0.6451612903225806,0.6774193548387097,0.3870967741935484,0.4193548387096774,0.7741935483870968,0.935483870967742,1.0,0.935483870967742,0.967741935483871,0.5483870967741935,0.5806451612903225,0.4838709677419355,0.4838709677419355,0.6451612903225806,0.6774193548387097,0.7096774193548387,0.5161290322580645,0.6774193548387097,0.6774193548387097,0.4193548387096774,0.4838709677419355,0.4516129032258065,0.3870967741935484,0.4193548387096774,0.4193548387096774,0.3870967741935484,0.4193548387096774,0.4516129032258065,0.3870967741935484,0.5483870967741935,0.7096774193548387
Hhi,0.6451612903225806,0.5161290322580645,0.5806451612903225,0.7096774193548387,0.6774193548387097,0.3870967741935484,0.4838709677419355,0.7741935483870968,0.8709677419354839,0.935483870967742,1.0,0.967741935483871,0.4838709677419355,0.5161290322580645,0.4193548387096774,0.4193548387096774,0.6451612903225806,0.6129032258064516,0.7096774193548387,0.5806451612903225,0.6774193548387097,0.6774193548387097,0.4193548387096774,0.4838709677419355,0.4516129032258065,0.3870967741935484,0.4193548387096774,0.4193548387096774,0.3870967741935484,0.4193548387096774,0.4516129032258065,0.4516129032258065,0.5483870967741935,0.6451612903225806
Hvi,0.6129032258064516,0.4838709677419355,0.5483870967741935,0.6774193548387097,0.7096774193548387,0.3548387096774194,0.4516129032258065,0.8064516129032258,0.9032258064516129,0.967741935483871,0.967741935483871,1.0,0.5161290322580645,0.5483870967741935,0.4516129032258065,0.4516129032258065,0.6774193548387097,0.6451612903225806,0.7419354838709677,0.5483870967741935,0.7096774193548387,0.7096774193548387,0.3870967741935484,0.5161290322580645,0.4838709677419355,0.4193548387096774,0.4516129032258065,0.4516129032258065,0.4193548387096774,0.4516129032258065,0.4838709677419355,0.4193548387096774,0.5806451612903225,0.6774193548387097
Hfo,0.5161290322580645,0.3870967741935484,0.3870967741935484,0.4516129032258065,0.4838709677419355,0.5806451612903225,0.5483870967741935,0.4516129032258065,0.4838709677419355,0.5483870967741935,0.4838709677419355,0.5161290322580645,1.0,0.9032258064516129,0.8709677419354839,0.8709677419354839,0.6451612903225806,0.5483870967741935,0.5806451612903225,0.5806451612903225,0.6129032258064516,0.6774193548387097,0.7419354838709677,0.8709677419354839,0.7096774193548387,0.7096774193548387,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.7419354838709677,0.6451612903225806,0.5161290322580645,0.6129032258064516,0.4516129032258065
Hli,0.4838709677419355,0.3548387096774194,0.3548387096774194,0.4193548387096774,0.4516129032258065,0.6129032258064516,0.5806451612903225,0.4838709677419355,0.5161290322580645,0.5806451612903225,0.5161290322580645,0.5483870967741935,0.9032258064516129,1.0,0.9032258064516129,0.9032258064516129,0.6129032258064516,0.5161290322580645,0.5483870967741935,0.5483870967741935,0.6451612903225806,0.7096774193548387,0.7741935483870968,0.8387096774193549,0.6774193548387097,0.6774193548387097,0.7096774193548387,0.6451612903225806,0.6774193548387097,0.7096774193548387,0.6774193548387097,0.5483870967741935,0.5161290322580645,0.4838709677419355
Hma,0.4516129032258065,0.32258064516129037,0.32258064516129037,0.3870967741935484,0.4193548387096774,0.6451612903225806,0.6129032258064516,0.3870967741935484,0.4838709677419355,0.4838709677419355,0.4193548387096774,0.4516129032258065,0.8709677419354839,0.9032258064516129,1.0,1.0,0.5806451612903225,0.4838709677419355,0.5161290322580645,0.5161290322580645,0.5483870967741935,0.6129032258064516,0.7419354838709677,0.8709677419354839,0.7096774193548387,0.7741935483870968,0.6774193548387097,0.7419354838709677,0.7096774193548387,0.7419354838709677,0.7096774193548387,0.5806451612903225,0.4838709677419355,0.3870967741935484
Hpa,0.4516129032258065,0.32258064516129037,0.32258064516129037,0.3870967741935484,0.4193548387096774,0.6451612903225806,0.6129032258064516,0.3870967741935484,0.4838709677419355,0.4838709677419355,0.4193548387096774,0.4516129032258065,0.8709677419354839,0.9032258064516129,1.0,1.0,0.5806451612903225,0.4838709677419355,0.5161290322580645,0.5161290322580645,0.5483870967741935,0.6129032258064516,0.7419354838709677,0.8709677419354839,0.7096774193548387,0.7741935483870968,0.6774193548387097,0.7419354838709677,0.7096774193548387,0.7419354838709677,0.7096774193548387,0.5806451612903225,0.4838709677419355,0.3870967741935484
